system,session,normalized_equity
A2,2024-04-04,1.0751445372090578
A2,2024-04-05,1.086650013795382
A2,2024-04-08,1.0869223212560681
A2,2024-04-09,1.0880115860463644
A2,2024-04-10,1.08864699311709
A2,2024-04-11,1.0956819038462244
A2,2024-04-12,1.0890554891422044
A2,2024-04-15,1.0833594699302904
A2,2024-04-16,1.0826787011651087
A2,2024-04-17,1.078049266009729
A2,2024-04-18,1.0733744691598932
A2,2024-04-19,1.0629582918575518
A2,2024-04-22,1.0688585068876284
A2,2024-04-23,1.0741006341132175
A2,2024-04-24,1.067406142487293
A2,2024-04-25,1.060779728010205
A2,2024-04-26,1.0742821839182373
A2,2024-04-29,1.0773231010564046
A2,2024-04-30,1.0637979296939912
A2,2024-05-01,1.0728752157060444
A2,2024-05-02,1.0858557374264661
A2,2024-05-03,1.0892370389472241
A2,2024-05-06,1.0948876272503767
A2,2024-05-07,1.0950237810941859
A2,2024-05-08,1.0932991092331639
A2,2024-05-09,1.0967030914876839
A2,2024-05-10,1.0921190522935145
A2,2024-05-13,1.090053996049902
A2,2024-05-14,1.0911886568014086
A2,2024-05-15,1.0887377854933755
A2,2024-05-16,1.0833821853846712
A2,2024-05-17,1.0858103412383235
A2,2024-05-20,1.0831779201252705
A2,2024-05-21,1.0822928861006884
A2,2024-05-22,1.0822475246331646
A2,2024-05-23,1.0775273318221184
A2,2024-05-24,1.0768465283363178
A2,2024-05-28,1.080023564597675
A2,2024-05-29,1.079728576403227
A2,2024-05-30,1.0736014151530557
A2,2024-05-31,1.067065758104702
A2,2024-06-03,1.071377455117566
A2,2024-06-04,1.0736467766205793
A2,2024-06-05,1.078049266009729
A2,2024-06-06,1.0864911447241241
A2,2024-06-07,1.0849026267069115
A2,2024-06-10,1.0911659415739599
A2,2024-06-11,1.0915517219177613
A2,2024-06-12,1.0907801610032264
A2,2024-06-13,1.0838360426503773
A2,2024-06-14,1.0834502623065758
A2,2024-06-17,1.08435797706492
A2,2024-06-18,1.0815213251861533
A2,2024-06-20,1.0889874122202998
A2,2024-06-21,1.095749980541197
A2,2024-06-24,1.0877846745468887
A2,2024-06-25,1.0895320271416724
A2,2024-06-26,1.1060300042266613
A2,2024-06-27,1.115651939880706
A2,2024-06-28,1.1052130471239836
A2,2024-07-01,1.1141768600259896
A2,2024-07-02,1.1205309672693236
A2,2024-07-03,1.1150618940505719
A2,2024-07-05,1.1205309672693236
ARMA,2024-01-05,1.0
ARMA,2024-01-08,1.0107021748783993
ARMA,2024-01-09,1.012452710512995
ARMA,2024-01-10,1.0204254192589544
ARMA,2024-01-11,1.021224862279018
ARMA,2024-01-12,1.0181377658765958
ARMA,2024-01-16,1.008584743352568
ARMA,2024-01-17,1.0018146242887342
ARMA,2024-01-18,1.017396708148305
ARMA,2024-01-19,1.0325250532496912
ARMA,2024-01-22,1.035128111467933
ARMA,2024-01-23,1.0381330682384424
ARMA,2024-01-24,1.0417415039647957
ARMA,2024-01-25,1.0478584337989705
ARMA,2024-01-26,1.0464894001511584
ARMA,2024-01-29,1.0509550069932978
ARMA,2024-01-30,1.0459310261989863
ARMA,2024-01-31,1.0269534564503406
ARMA,2024-02-01,1.039491494698822
ARMA,2024-02-02,1.0680148682086186
ARMA,2024-02-05,1.0668765059664056
ARMA,2024-02-06,1.07100063368068
ARMA,2024-02-07,1.071840594782983
ARMA,2024-02-08,1.0686276966520623
ARMA,2024-02-09,1.0704423515027843
ARMA,2024-02-12,1.063033024298722
ARMA,2024-02-13,1.048053329926897
ARMA,2024-02-14,1.0550122736865182
ARMA,2024-02-15,1.0593133907527632
ARMA,2024-02-16,1.0542131884014545
ARMA,2024-02-20,1.0488380929354424
ARMA,2024-02-21,1.0558227043360207
ARMA,2024-02-22,1.0769815028010425
ARMA,2024-02-23,1.0762833885329781
ARMA,2024-02-26,1.0720033155048214
ARMA,2024-02-27,1.07224164408134
ARMA,2024-02-28,1.070991205606808
ARMA,2024-02-29,1.0809567581880293
ARMA,2024-03-01,1.0806924053289486
ARMA,2024-03-04,1.0736327041426215
ARMA,2024-03-05,1.0605154671244794
ARMA,2024-03-06,1.0592386319718878
ARMA,2024-03-07,1.0631049151407155
ARMA,2024-03-08,1.0637045961932199
ARMA,2024-03-11,1.060058621714945
ARMA,2024-03-12,1.071500730917436
ARMA,2024-03-13,1.0732215855630725
ARMA,2024-03-14,1.0748695749095152
ARMA,2024-03-15,1.069136638700073
ARMA,2024-03-18,1.075849142762751
ARMA,2024-03-19,1.0854838570780183
ARMA,2024-03-20,1.100099036695659
ARMA,2024-03-21,1.0920338171454091
ARMA,2024-03-22,1.090562327481529
ARMA,2024-03-25,1.0863151291888977
ARMA,2024-03-26,1.0828825892343839
ARMA,2024-03-27,1.1001768546174782
ARMA,2024-03-28,1.0995530063124217
ARMA,2024-04-01,1.0955696314083145
ARMA,2024-04-02,1.0926210744203877
ARMA,2024-04-03,1.096811241309678
ARMA,2024-04-04,1.0870751264400307
ARMA,2024-04-05,1.1031297839640826
ARMA,2024-04-08,1.1033217747305606
ARMA,2024-04-09,1.1040367063147916
ARMA,2024-04-10,1.0979456184868208
ARMA,2024-04-11,1.117981105794533
ARMA,2024-04-12,1.0898346192503914
ARMA,2024-04-15,1.0774341272747094
ARMA,2024-04-16,1.0666735198168595
ARMA,2024-04-17,1.0582574153459523
ARMA,2024-04-18,1.0542240143385795
ARMA,2024-04-19,1.0491795377758388
ARMA,2024-04-22,1.06254967191366
ARMA,2024-04-23,1.0729284380621176
ARMA,2024-04-24,1.0682428192138715
ARMA,2024-04-25,1.062365051120313
ARMA,2024-04-26,1.075718229658891
ARMA,2024-04-29,1.0781909230452589
ARMA,2024-04-30,1.0565351774763603
ARMA,2024-05-01,1.0637908658901838
ARMA,2024-05-02,1.082526239207444
ARMA,2024-05-03,1.1016465646851765
ARMA,2024-05-06,1.1071076941107694
ARMA,2024-05-07,1.1079600745136011
ARMA,2024-05-08,1.1144271626825042
ARMA,2024-05-09,1.1245095878914133
