session,symbol,series,equity,normalized_equity
2024-01-23,JPM,same_stock_buy_and_hold,98140.41270347874,0.9814041270347874
2024-01-24,JPM,same_stock_buy_and_hold,99017.33724686533,0.9901733724686532
2024-01-25,JPM,same_stock_buy_and_hold,100434.36094495306,1.0043436094495306
2024-01-26,JPM,same_stock_buy_and_hold,100051.06593588943,1.0005106593588944
2024-01-29,JPM,same_stock_buy_and_hold,100312.40021628444,1.0031240021628445
2024-01-30,JPM,same_stock_buy_and_hold,102368.24904562758,1.0236824904562758
2024-01-31,JPM,same_stock_buy_and_hold,101259.02042096097,1.0125902042096095
2024-02-01,JPM,same_stock_buy_and_hold,100893.1470623071,1.008931470623071
2024-02-02,JPM,same_stock_buy_and_hold,101473.89390832976,1.0147389390832975
2024-02-05,JPM,same_stock_buy_and_hold,101340.324630956,1.0134032463095601
2024-02-06,JPM,same_stock_buy_and_hold,101688.77628112536,1.0168877628112536
2024-02-07,JPM,same_stock_buy_and_hold,101880.41495830512,1.018804149583051
